Column1,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
427,I Wish You Would,1989,2014/1/1,7,5RVJ6VKfwtosA5Q1qeHdjF,spotify:track:5RVJ6VKfwtosA5Q1qeHdjF,0.016,0.649,0.898,0.000099,0.109,-5.963,0.0511,118.027,0.503,42,207440
428,Bad Blood,1989,2014/1/1,8,0TvQLMecTE8utzoNmvXRbK,spotify:track:0TvQLMecTE8utzoNmvXRbK,0.0871,0.652,0.802,0.00000645,0.148,-6.114,0.181,170.157,0.295,71,211933
429,Wildest Dreams,1989,2014/1/1,9,3fVnlF4pGqWI9flVENcT28,spotify:track:3fVnlF4pGqWI9flVENcT28,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,0.467,75,220440
430,How You Get The Girl,1989,2014/1/1,10,5Z9ocF6ng0m2haHnKtHwTp,spotify:track:5Z9ocF6ng0m2haHnKtHwTp,0.00463,0.764,0.659,0.00458,0.0915,-6.136,0.0492,119.982,0.525,43,247533
431,This Love,1989,2014/1/1,11,7lTxQZVXlvIX7Z3szSy8Sh,spotify:track:7lTxQZVXlvIX7Z3szSy8Sh,0.635,0.485,0.459,0,0.101,-8.768,0.0337,71.981,0.0858,42,250093
432,I Know Places,1989,2014/1/1,12,6Ck9WerfsyvC4v4AylUoDp,spotify:track:6Ck9WerfsyvC4v4AylUoDp,0.231,0.595,0.763,0,0.2,-4.991,0.0661,159.959,0.507,43,195706
433,Clean,1989,2014/1/1,13,2k43eySbfpDVx0PrO99UI8,spotify:track:2k43eySbfpDVx0PrO99UI8,0.242,0.81,0.38,0,0.113,-7.755,0.035,103.981,0.211,42,271000
456,State Of Grace,Red,2012/10/22,1,786NsUYn4GGUf8AOt0SQhP,spotify:track:786NsUYn4GGUf8AOt0SQhP,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,40,295186
457,Red,Red,2012/10/22,2,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0.0773,0.602,0.896,0.0000887,0.091,-4.267,0.0437,124.978,0.641,58,220826
458,Treacherous,Red,2012/10/22,3,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk,0.101,0.705,0.621,0.0000043,0.147,-8.086,0.0334,109.993,0.395,38,240773
